#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
176,2.117005,3.7994,3.3114,1.6032,0.5817,0.8367,0.177
177,2.11723,3.7959,3.3016,1.599,0.5931,0.8553,0.18
178,2.117449,3.7926,3.293,1.5945,0.6057,0.8749,0.1847
179,2.117663,3.7894,3.2853,1.5895,0.6195,0.8955,0.1908
180,2.117869,3.7863,3.2786,1.5841,0.6344,0.9171,0.1984
181,2.118067,3.7834,3.2726,1.5783,0.6505,0.9397,0.2074
182,2.118299,3.78,3.2667,1.5706,0.6718,0.9686,0.2205
183,2.118526,3.7766,3.2619,1.5619,0.6955,0.9999,0.2361
184,2.118745,3.7733,3.2584,1.5523,0.7218,1.0337,0.2545
185,2.118958,3.7701,3.2559,1.5418,0.7507,1.0702,0.2756
186,2.119161,3.7669,3.2548,1.5303,0.7819,1.1088,0.2993
187,2.119354,3.7638,3.2548,1.518,0.8156,1.1497,0.3255
188,2.119538,3.7607,3.2558,1.5048,0.8514,1.1927,0.3541
189,2.119713,3.7578,3.2579,1.4909,0.8889,1.2373,0.3848
190,2.119879,3.7549,3.2608,1.4765,0.9279,1.2832,0.4171
191,2.120038,3.752,3.2645,1.4616,0.9685,1.3306,0.4511
192,2.120193,3.7493,3.2687,1.4463,1.0099,1.3786,0.486
193,2.120342,3.7465,3.2732,1.4306,1.0524,1.428,0.5221
194,2.120491,3.7438,3.2784,1.4146,1.0957,1.4779,0.5591
195,2.120639,3.7409,3.283,1.3984,1.1404,1.5299,0.5971
196,2.120798,3.7379,3.2875,1.3823,1.185,1.5818,0.6349
197,2.120962,3.7347,3.2906,1.3663,1.2297,1.6346,0.6723
198,2.121148,3.7313,3.291,1.352,1.2713,1.685,0.7058
199,2.121358,3.7275,3.2865,1.3414,1.3044,1.7278,0.7304
200,2.12159,3.7235,3.2745,1.3373,1.3221,1.7559,0.739
201,2.121815,3.7198,3.2568,1.3405,1.3214,1.7646,0.7299
202,2.12202,3.7167,3.2368,1.3483,1.3085,1.7598,0.71
203,2.122213,3.7141,3.216,1.3585,1.2887,1.7473,0.6842
204,2.122402,3.7117,3.1943,1.3706,1.2639,1.729,0.6539
205,2.122586,3.7095,3.1719,1.3845,1.2345,1.7055,0.6195
206,2.122763,3.7077,3.1495,1.3993,1.2021,1.6783,0.5827
207,2.12293,3.706,3.1274,1.4148,1.1674,1.6484,0.5443
208,2.123091,3.7045,3.1058,1.4306,1.132,1.6171,0.5054
209,2.123248,3.7032,3.0844,1.4467,1.0954,1.5844,0.4656
210,2.123401,3.702,3.0633,1.4628,1.0583,1.551,0.4257
211,2.123551,3.7007,3.0426,1.4789,1.0214,1.5173,0.3859
212,2.123699,3.6997,3.0221,1.4949,0.9846,1.4839,0.3465
213,2.123842,3.6985,3.0015,1.511,0.9475,1.4501,0.3066
214,2.123992,3.6974,2.9813,1.5268,0.9114,1.4174,0.2678
215,2.124141,3.6963,2.961,1.5425,0.8754,1.3848,0.2292
216,2.124289,3.6951,2.9407,1.5583,0.8392,1.352,0.1904
217,2.124306,3.695,2.9383,1.5602,0.8351,1.3482,0.1859
218,2.124323,3.6949,2.936,1.562,0.8309,1.3443,0.1814
219,2.124339,3.6947,2.9337,1.5639,0.8267,1.3406,0.1769
220,2.124356,3.6946,2.9314,1.5657,0.8226,1.3368,0.1725
221,2.124373,3.6945,2.9292,1.5675,0.8184,1.3331,0.1681
222,2.12439,3.6943,2.9269,1.5692,0.8144,1.3294,0.1638
223,2.124406,3.6943,2.9246,1.571,0.8103,1.3257,0.1594
224,2.124422,3.6942,2.9223,1.5728,0.8063,1.322,0.155
225,2.124439,3.694,2.9201,1.5746,0.8022,1.3183,0.1507
226,2.124456,3.6939,2.9177,1.5764,0.7981,1.3147,0.1463
227,2.124618,3.6926,2.8958,1.5936,0.7589,1.279,0.1042
228,2.12478,3.6915,2.8732,1.6112,0.7186,1.2425,0.0609
229,2.12494,3.6903,2.8511,1.6286,0.6791,1.2067,0.0185
230,2.125096,3.6891,2.8293,1.6456,0.6405,1.1717,-0.0228
231,2.125261,3.6879,2.8063,1.6639,0.5992,1.1342,-0.0672
232,2.125391,3.6869,2.7886,1.6777,0.5678,1.1058,-0.1009
233,2.125538,3.6858,2.7675,1.6944,0.5298,1.0713,-0.1415
234,2.125743,3.6844,2.7397,1.7165,0.4798,1.0258,-0.195
235,2.125875,3.6835,2.7217,1.731,0.4467,0.9956,-0.2302
236,2.126071,3.6821,2.6952,1.7519,0.3998,0.9532,-0.2806
237,2.126198,3.6811,2.6776,1.7659,0.3681,0.9244,-0.3145
238,2.126373,3.6799,2.6537,1.7849,0.3253,0.8856,-0.3603
239,2.126556,3.6787,2.6294,1.8043,0.2813,0.8456,-0.4073
240,2.126722,3.6775,2.6067,1.8223,0.2408,0.8089,-0.4507
241,2.126887,3.6763,2.5839,1.8404,0.2,0.7719,-0.4943
242,2.127041,3.6753,2.5629,1.8571,0.1625,0.7379,-0.5344
243,2.127191,3.6742,2.5426,1.8733,0.1261,0.7051,-0.5733
244,2.127398,3.6727,2.5142,1.8958,0.0758,0.6597,-0.6273
245,2.127562,3.6715,2.4913,1.9137,0.0358,0.6237,-0.6702
246,2.127718,3.6703,2.4695,1.9309,-0.0024,0.5895,-0.7112
247,2.127875,3.6691,2.4475,1.9482,-0.0406,0.5553,-0.7524
248,2.128038,3.6678,2.424,1.9665,-0.081,0.5192,-0.7959
249,2.128219,3.6664,2.3987,1.9863,-0.1248,0.4802,-0.8431
250,2.128368,3.6652,2.3772,2.0031,-0.1614,0.4477,-0.8827
251,2.128531,3.6639,2.3538,2.0213,-0.2014,0.4121,-0.9259
252,2.128683,3.6626,2.3315,2.0386,-0.2389,0.3789,-0.9666
253,2.12884,3.6614,2.3085,2.0565,-0.2778,0.3446,-1.0086
254,2.128994,3.6601,2.2855,2.0743,-0.3164,0.3106,-1.0504
255,2.129153,3.6587,2.2619,2.0925,-0.3556,0.276,-1.0929
256,2.129293,3.6575,2.2406,2.109,-0.3909,0.2452,-1.1313
257,2.129457,3.6561,2.2158,2.1281,-0.4318,0.2094,-1.1758
258,2.129596,3.6548,2.1946,2.1444,-0.4665,0.1792,-1.2135
259,2.129738,3.6536,2.1725,2.1615,-0.5026,0.1478,-1.2529
260,2.129876,3.6523,2.1511,2.178,-0.5373,0.1175,-1.2908
261,2.130026,3.651,2.1279,2.1959,-0.5749,0.0849,-1.3318
262,2.130145,3.65,2.1093,2.2101,-0.6046,0.0594,-1.3643
263,2.130291,3.6486,2.0861,2.2281,-0.6419,0.0272,-1.4052
264,2.13041,3.6475,2.0671,2.2427,-0.672,0.0014,-1.4382
265,2.130532,3.6463,2.0479,2.2574,-0.7024,-0.0244,-1.4715
266,2.13065,3.6453,2.0287,2.2721,-0.7326,-0.0503,-1.5048
267,2.130771,3.6441,2.0092,2.2871,-0.763,-0.0761,-1.5383
268,2.130894,3.6429,1.9888,2.3027,-0.795,-0.1031,-1.5735
269,2.131019,3.6417,1.968,2.3185,-0.8267,-0.1297,-1.6086
270,2.131141,3.6404,1.9481,2.3334,-0.8564,-0.1542,-1.6417
271,2.131216,3.6394,1.9334,2.3443,-0.8774,-0.1712,-1.6653
272,2.131345,3.6382,1.913,2.3595,-0.9077,-0.1963,-1.6991
