#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
9,0.11544,3.5039,5.242,-2.7727,12.6416,14.2126,11.4945
10,0.135796,3.504,5.173,-2.6332,12.3014,13.8739,11.1538
11,0.169761,3.5067,5.0983,-2.4506,11.8434,13.3992,10.6995
12,0.20986,3.513,5.0472,-2.2817,11.4014,12.9187,10.2669
13,0.236904,3.517,5.0172,-2.1833,11.1438,12.6399,10.0147
14,0.260019,3.5202,4.9941,-2.107,10.9438,12.4242,9.8188
15,0.283162,3.5232,4.9735,-2.0372,10.761,12.228,9.6394
16,0.29826,3.5251,4.9596,-1.993,10.6458,12.1053,9.5262
17,0.306523,3.5262,4.9507,-1.9683,10.5819,12.0378,9.4631
18,0.312288,3.5268,4.9439,-1.9507,10.5369,11.9907,9.4186
19,0.316489,3.5273,4.9387,-1.9377,10.5037,11.9561,9.3858
20,0.319482,3.5276,4.9351,-1.9289,10.4814,11.9332,9.3637
21,0.321703,3.5279,4.9321,-1.9216,10.4625,11.9132,9.3451
22,0.324051,3.5282,4.9285,-1.9136,10.4423,11.8922,9.325
23,0.326415,3.5285,4.9249,-1.906,10.4229,11.8724,9.3058
24,0.329212,3.5288,4.9218,-1.8979,10.4021,11.8506,9.2852
25,0.332514,3.529,4.9197,-1.8905,10.3834,11.8315,9.2667
26,0.338447,3.5299,4.9164,-1.8761,10.3451,11.79,9.2292
27,0.349427,3.5312,4.9093,-1.8499,10.2764,11.7176,9.1615
28,0.47818,3.5547,4.8033,-1.5126,9.3827,10.7769,8.2822
29,0.48936,3.5579,4.7915,-1.4786,9.2943,10.6817,8.1964
30,0.503912,3.562,4.7776,-1.4361,9.1824,10.5559,8.0886
31,0.516006,3.5656,4.7665,-1.4003,9.0872,10.445,7.9979
32,0.526192,3.5687,4.7571,-1.3696,9.0043,10.3458,7.92
33,0.536386,3.5721,4.7479,-1.3388,8.9192,10.2418,7.8407
34,0.548813,3.5763,4.7371,-1.3013,8.8123,10.1081,7.7423
35,0.56523,3.5821,4.7231,-1.2512,8.6589,9.9101,7.604
36,0.584667,3.5895,4.7073,-1.1911,8.4567,9.6411,7.4257
37,0.605174,3.5978,4.6917,-1.1274,8.2266,9.3289,7.2271
38,0.620366,3.6039,4.6797,-1.0797,8.0476,9.0848,7.0744
39,0.639886,3.6127,4.6671,-1.0188,7.8062,8.7564,6.8738
40,0.669862,3.6265,4.6506,-0.9273,7.4452,8.2774,6.5761
41,0.69566,3.6388,4.6376,-0.8491,7.1478,7.8954,6.3296
42,0.722278,3.6518,4.6254,-0.7685,6.8514,7.5243,6.0823
43,0.749227,3.6653,4.6143,-0.6872,6.5683,7.1798,5.8431
44,0.780487,3.6805,4.6003,-0.5946,6.2679,6.8228,5.5854
45,0.80389,3.6912,4.5889,-0.5275,6.0618,6.5814,5.4068
46,0.818339,3.6973,4.5814,-0.4878,5.9437,6.4445,5.3037
47,0.830341,3.7022,4.575,-0.4555,5.8491,6.3355,5.2209
48,0.841312,3.7065,4.5688,-0.4262,5.7642,6.238,5.1465
49,0.851616,3.7106,4.5626,-0.3985,5.6849,6.1473,5.0767
50,0.861339,3.7145,4.5565,-0.3721,5.6098,6.0617,5.0104
51,0.870696,3.7181,4.5503,-0.3465,5.5375,5.9796,4.9466
52,0.877472,3.7208,4.5456,-0.3279,5.4854,5.9205,4.9004
53,0.884151,3.7233,4.5408,-0.3096,5.4342,5.8627,4.8551
54,0.890754,3.7258,4.5359,-0.2915,5.384,5.8062,4.8105
55,0.8973,3.7283,4.5308,-0.2736,5.3348,5.7507,4.7666
56,0.903784,3.7306,4.5257,-0.256,5.2864,5.6965,4.7234
57,0.910223,3.7329,4.5205,-0.2385,5.2388,5.6434,4.6809
58,0.916603,3.7351,4.5151,-0.2213,5.1921,5.5912,4.6391
59,0.922911,3.7373,4.5097,-0.2043,5.1462,5.5401,4.598
60,0.929125,3.7393,4.5042,-0.1875,5.1012,5.4901,4.5577
61,0.935248,3.7413,4.4986,-0.1711,5.0571,5.4412,4.518
62,0.941262,3.7432,4.493,-0.155,5.0142,5.3936,4.4792
63,0.947173,3.7451,4.4873,-0.1391,4.9721,5.3471,4.4413
64,0.952955,3.7469,4.4815,-0.1236,4.9311,5.302,4.4042
65,0.958631,3.7486,4.4758,-0.1085,4.8911,5.258,4.368
66,0.964187,3.7503,4.47,-0.0936,4.852,5.2151,4.3326
67,0.969633,3.7518,4.4643,-0.0791,4.8139,5.1733,4.2979
68,0.974982,3.7534,4.4584,-0.0647,4.7766,5.1325,4.2639
69,0.980225,3.7548,4.4526,-0.0508,4.7402,5.0927,4.2307
70,0.985331,3.7562,4.4468,-0.0371,4.7047,5.054,4.1983
71,0.9903,3.7575,4.441,-0.0238,4.6701,5.0165,4.1666
72,0.995178,3.7588,4.4353,-0.0107,4.6363,4.9798,4.1356
73,0.999986,3.76,4.4293,0.0022,4.6029,4.9437,4.105
74,1.004765,3.7612,4.4235,0.015,4.5699,4.9079,4.0746
75,1.009534,3.7624,4.4174,0.0277,4.5371,4.8725,4.0443
76,1.014338,3.7636,4.4114,0.0405,4.5042,4.837,4.014
77,1.019208,3.7647,4.4051,0.0533,4.4711,4.8013,3.9834
78,1.024229,3.7659,4.3986,0.0665,4.4374,4.7651,3.9522
79,1.029563,3.767,4.3917,0.0803,4.4019,4.7271,3.9194
80,1.037257,3.7685,4.3815,0.0997,4.3521,4.6738,3.8729
81,1.045752,3.77,4.37,0.1207,4.2986,4.617,3.8227
82,1.049963,3.7707,4.3643,0.1311,4.2721,4.5889,3.7978
83,1.053604,3.7714,4.359,0.1402,4.2488,4.5643,3.7759
84,1.053116,3.7715,4.359,0.141,4.2471,4.5622,3.7746
