#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
12,0.115485,3.5039,5.2406,-2.7711,12.6376,14.2086,11.4905
13,0.136225,3.504,5.1702,-2.6287,12.2904,13.8626,11.1429
14,0.162729,3.5057,5.1062,-2.4804,11.9205,13.4821,10.7754
15,0.18882,3.5099,5.0657,-2.3586,11.6041,13.14,10.4651
16,0.208061,3.5129,5.0391,-2.278,11.394,12.9128,10.2592
17,0.223887,3.5152,5.0187,-2.2165,11.2337,12.74,10.102
18,0.238891,3.5174,5.0009,-2.1618,11.091,12.5862,9.9621
19,0.255048,3.5196,4.9834,-2.107,10.9479,12.4326,9.8217
20,0.276018,3.5224,4.9634,-2.0414,10.7767,12.2492,9.6535
21,0.293648,3.5247,4.9476,-1.9896,10.6415,12.1051,9.5207
22,0.303718,3.526,4.9385,-1.961,10.567,12.0258,9.4473
23,0.310337,3.5268,4.9323,-1.9423,10.5187,11.9749,9.3997
24,0.315174,3.5273,4.9277,-1.9287,10.4835,11.938,9.3651
25,0.318728,3.5277,4.9247,-1.9194,10.4597,11.9132,9.3416
26,0.321583,3.528,4.9221,-1.9113,10.4383,11.8903,9.3205
27,0.324,3.5283,4.9193,-1.904,10.4198,11.8709,9.3022
28,0.326332,3.5286,4.9178,-1.8982,10.4046,11.8547,9.2873
29,0.329192,3.529,4.9157,-1.891,10.3856,11.8344,9.2686
30,0.332831,3.5294,4.9135,-1.8823,10.3627,11.8101,9.2462
31,0.338252,3.5301,4.9107,-1.8699,10.3302,11.7754,9.2143
32,0.347108,3.5311,4.9062,-1.8501,10.2776,11.7196,9.1624
33,0.441511,3.5471,4.8264,-1.601,9.6206,11.0299,8.5153
34,0.460713,3.5516,4.8074,-1.5462,9.4761,10.8804,8.3726
35,0.479904,3.5563,4.7884,-1.4906,9.3292,10.7241,8.2289
36,0.495624,3.5606,4.7727,-1.444,9.2072,10.5887,8.1109
37,0.509382,3.5646,4.7593,-1.4026,9.0978,10.4633,8.0063
38,0.5209,3.5681,4.7481,-1.3674,9.0032,10.351,7.9171
39,0.531567,3.5717,4.7379,-1.3344,8.9122,10.24,7.8322
40,0.542923,3.5755,4.7272,-1.2989,8.8117,10.1144,7.7395
41,0.55646,3.5803,4.7145,-1.2564,8.6853,9.9526,7.6247
42,0.571935,3.5862,4.7004,-1.2071,8.5241,9.7409,7.4814
43,0.588208,3.5927,4.6862,-1.1543,8.3401,9.4936,7.3207
44,0.604226,3.5996,4.6729,-1.102,8.1473,9.2313,7.1553
45,0.619339,3.6063,4.661,-1.0524,7.9565,8.9714,6.9943
46,0.633832,3.6132,4.6504,-1.0045,7.7676,8.7153,6.8371
47,0.648013,3.62,4.6405,-0.9576,7.5811,8.465,6.6831
48,0.661956,3.6269,4.6313,-0.9116,7.4005,8.227,6.534
49,0.675358,3.6338,4.6231,-0.867,7.2292,8.0053,6.3923
50,0.688251,3.6406,4.6157,-0.8241,7.0671,7.7993,6.258
51,0.700522,3.6472,4.6088,-0.7833,6.9169,7.6116,6.1326
52,0.707211,3.6507,4.605,-0.7611,6.8372,7.5132,6.0657
53,0.713851,3.6543,4.6013,-0.7391,6.7593,7.4179,6
54,0.720409,3.6578,4.5977,-0.7174,6.6836,7.326,5.9359
55,0.726844,3.6613,4.5941,-0.6961,6.6108,7.2381,5.874
56,0.733173,3.6646,4.5905,-0.6753,6.5405,7.1537,5.814
57,0.739402,3.668,4.5868,-0.6547,6.4726,7.0726,5.7559
58,0.745536,3.6712,4.5832,-0.6346,6.407,6.9947,5.6995
59,0.751566,3.6744,4.5794,-0.6148,6.3436,6.9197,5.6447
60,0.757519,3.6774,4.5755,-0.5954,6.2819,6.8473,5.5913
61,0.763403,3.6804,4.5715,-0.576,6.2216,6.7766,5.539
62,0.769211,3.6833,4.5675,-0.5569,6.1626,6.7076,5.4877
63,0.774955,3.6862,4.5633,-0.5379,6.1048,6.6404,5.4373
64,0.780628,3.689,4.5591,-0.5193,6.0484,6.5748,5.3881
65,0.786223,3.6917,4.5548,-0.5008,5.9934,6.5111,5.3399
