#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
3,0.199749,3.5039,4.9528,-2.19,11.2233,12.8025,10.0739
4,0.301593,3.5168,4.8156,-1.7502,10.0853,11.5776,8.9565
5,0.459378,3.5507,4.7892,-1.3421,8.9333,10.2297,7.8531
6,0.535073,3.5565,4.8083,-1.3277,8.8806,10.1839,7.8012
7,0.391001,3.5362,4.9058,-1.7626,10.0363,11.4479,8.929
8,0.361043,3.5324,4.9255,-1.8434,10.2502,11.6796,9.1387
9,0.357247,3.5324,4.9278,-1.8542,10.2775,11.7085,9.1658
10,0.359349,3.5325,4.9266,-1.8488,10.2645,11.6951,9.1529
11,0.365323,3.5335,4.9208,-1.8325,10.2221,11.6503,9.1109
12,0.379793,3.5352,4.9064,-1.7939,10.1216,11.544,9.0115
13,0.407093,3.5393,4.8818,-1.7198,9.9274,11.3385,8.8207
14,0.748462,3.5957,4.6093,-0.8403,7.5976,8.8937,6.5256
15,0.793165,3.6076,4.5728,-0.7199,7.2731,8.5569,6.2067
16,0.56713,3.5751,4.7429,-1.2865,8.7728,10.1287,7.6854
17,0.57337,3.5785,4.7344,-1.262,8.7081,10.0513,7.6251
18,0.574336,3.5807,4.7318,-1.2545,8.6961,10.0147,7.6193
19,0.577161,3.5823,4.7309,-1.2445,8.667,9.9605,7.5969
20,0.575528,3.5831,4.7342,-1.2469,8.6682,9.9435,7.6042
21,0.574374,3.5836,4.7359,-1.2491,8.6669,9.9301,7.6063
22,0.582307,3.5868,4.7294,-1.2251,8.596,9.8363,7.5426
23,0.604294,3.5947,4.7132,-1.1591,8.3992,9.5806,7.3654
24,0.642572,3.6087,4.6837,-1.0449,8.0309,9.0914,7.0391
25,0.686963,3.6268,4.6514,-0.9108,7.52,8.3898,6.5997
26,0.691145,3.6277,4.6412,-0.8897,7.3908,8.1718,6.4948
27,0.869612,3.7048,4.5761,-0.4139,5.5681,5.8195,4.9888
28,0.888781,3.7154,4.5729,-0.3598,5.3296,5.5179,4.8072
29,0.849341,3.7017,4.5881,-0.4497,5.5869,5.8202,5.0413
30,1.707897,4.0615,4.2782,1.7636,-1.3746,-2.3694,-0.937
31,1.051575,3.772,4.5243,-0.0164,4.6063,4.9096,4.137
32,1.068402,3.776,4.5134,0.0163,4.527,4.8237,4.066
33,1.081431,3.7784,4.5039,0.0394,4.4731,4.7673,4.0168
34,1.088354,3.779,4.4978,0.0484,4.4544,4.749,3.9982
35,1.106747,3.7838,4.4858,0.0872,4.3577,4.6426,3.9113
36,1.12634,3.7875,4.4726,0.125,4.2622,4.5386,3.825
37,1.149098,3.7924,4.4568,0.1694,4.1505,4.4167,3.7239
38,1.170468,3.7971,4.4408,0.2106,4.0487,4.3061,3.6317
39,1.19617,3.802,4.4221,0.2592,3.9252,4.1718,3.5205
40,1.2516,3.8137,4.3839,0.3671,3.6486,3.8692,3.27
41,1.255263,3.8125,4.3777,0.3694,3.6487,3.8736,3.2683
42,1.244478,3.8088,4.3831,0.342,3.7268,3.9632,3.3373
43,1.339463,3.8261,4.3169,0.5115,3.2979,3.4982,2.9458
44,1.360097,3.8291,4.3016,0.5434,3.2222,3.4177,2.8758
45,1.666405,3.8882,4.0788,1.1149,1.7938,1.874,1.5793
46,2.268969,3.9885,3.7098,2.0814,-0.5909,-0.6935,-0.5775
47,2.161192,3.9594,3.8444,1.7755,0.1982,0.1629,0.1493
48,1.872165,3.9131,4.103,1.2284,1.5698,1.6267,1.4172
49,1.859733,3.9128,4.1304,1.1939,1.6625,1.7232,1.5108
50,1.919619,3.9246,4.1219,1.2609,1.508,1.5525,1.3844
51,2.078689,3.9496,4.0749,1.4485,1.0646,1.0707,1.0003
52,2.102048,3.9529,4.0689,1.4747,1.0028,1.0043,0.9475
53,2.121531,3.9558,4.0636,1.4954,0.9531,0.9504,0.9052
54,2.135066,3.9579,4.0606,1.5098,0.9199,0.9142,0.8763
55,2.14609,3.9591,4.0576,1.5199,0.8971,0.89,0.8571
56,2.154323,3.9598,4.0547,1.5263,0.8829,0.8751,0.8448
57,2.161735,3.9603,4.0516,1.5315,0.8712,0.8629,0.8338
58,2.171389,3.9604,4.0477,1.5391,0.8538,0.8453,0.818
59,2.183811,3.9613,4.0428,1.55,0.8291,0.8197,0.7953
60,2.195944,3.9624,4.0379,1.5606,0.8029,0.7928,0.7726
61,2.208859,3.9634,4.0342,1.5716,0.7771,0.7652,0.7493
62,2.220454,3.9645,4.0301,1.5821,0.7536,0.7403,0.7284
63,2.232153,3.965,4.0258,1.5912,0.7311,0.7165,0.7076
64,2.243544,3.9654,4.0206,1.6011,0.7073,0.6923,0.6857
65,2.255992,3.9661,4.0126,1.6117,0.68,0.6642,0.6595
66,2.269971,3.9664,4.0037,1.6257,0.6473,0.6312,0.6281
67,2.285152,3.9664,3.9924,1.6407,0.6099,0.5929,0.5916
68,2.303635,3.967,3.9799,1.6596,0.5631,0.5465,0.5468
69,2.320214,3.9676,3.9662,1.678,0.5176,0.4986,0.503
70,2.338392,3.9684,3.9521,1.6976,0.4675,0.4481,0.4549
71,2.356215,3.9688,3.9374,1.7187,0.4169,0.3974,0.4059
72,2.374015,3.9687,3.9208,1.7383,0.3662,0.3452,0.3555
73,2.390957,3.9688,3.9043,1.7578,0.3172,0.2965,0.307
74,2.407107,3.9685,3.8878,1.7762,0.2708,0.2502,0.2596
75,2.422204,3.9672,3.8721,1.7926,0.2278,0.2079,0.2157
76,2.43602,3.9666,3.8569,1.8068,0.189,0.1695,0.1761
77,2.448696,3.9663,3.8429,1.8208,0.153,0.1346,0.1385
78,2.460791,3.965,3.8294,1.833,0.1193,0.1009,0.1034
79,2.471441,3.964,3.8155,1.8447,0.0886,0.0717,0.071
80,2.482375,3.9629,3.8024,1.8551,0.0595,0.0438,0.0386
81,2.492813,3.9621,3.789,1.8651,0.0315,0.0165,0.0086
82,2.500582,3.9608,3.7787,1.873,0.0097,-0.0039,-0.0154
83,2.50823,3.9599,3.7678,1.88,-0.0107,-0.0234,-0.0387
84,2.516016,3.9586,3.7574,1.8873,-0.0308,-0.0424,-0.0613
85,2.523729,3.9571,3.7466,1.8941,-0.0507,-0.0603,-0.0848
86,2.531258,3.9561,3.7353,1.901,-0.0702,-0.0786,-0.1076
87,2.538619,3.9545,3.7244,1.9074,-0.0897,-0.0958,-0.13
88,2.545876,3.9529,3.7124,1.9133,-0.1078,-0.1123,-0.1525
89,2.553157,3.9508,3.7012,1.9192,-0.1253,-0.1275,-0.1737
90,2.560011,3.9486,3.6891,1.9242,-0.142,-0.142,-0.1954
91,2.566665,3.9464,3.677,1.9296,-0.159,-0.1563,-0.2168
92,2.573411,3.9446,3.665,1.9353,-0.1754,-0.1711,-0.2389
93,2.579842,3.9426,3.6524,1.9401,-0.1918,-0.1839,-0.2598
94,2.586311,3.9406,3.64,1.9444,-0.2074,-0.1963,-0.2802
95,2.592613,3.9381,3.6269,1.949,-0.2222,-0.2089,-0.301
96,2.598651,3.936,3.6133,1.9535,-0.2374,-0.2208,-0.3217
97,2.604447,3.9333,3.6001,1.9581,-0.2528,-0.2327,-0.3432
98,2.610161,3.9311,3.587,1.9624,-0.2674,-0.2439,-0.3637
